"Time","sda_写入"
1710339860000,116223.99999999999
1710339865000,116223.99999999999
1710339870000,122041.29523809523
1710339875000,122041.29523809523
1710339880000,122041.29523809523
1710339885000,119505.67619047618
1710339890000,119505.67619047618
1710339895000,119505.67619047618
1710339900000,127322.2095238095
1710339905000,127322.2095238095
1710339910000,127322.2095238095
1710339915000,127346.59047619047
1710339920000,127346.59047619047
1710339925000,127346.59047619047
1710339930000,122611.80952380951
1710339935000,122611.80952380951
1710339940000,122611.80952380951
1710339945000,119276.49523809523
1710339950000,119276.49523809523
1710339955000,119276.49523809523
1710339960000,135055.8476190476
1710339965000,135055.8476190476
1710339970000,135055.8476190476
1710339975000,137576.83809523808
1710339980000,137576.83809523808
1710339985000,137576.83809523808

