"Time","总使用率"
1710339860000,4.542857142857781
1710339865000,4.542857142857781
1710339870000,4.542857142857781
1710339875000,4.832440476190558
1710339880000,4.832440476190558
1710339885000,4.832440476190558
1710339890000,7.290476190476392
1710339895000,7.290476190476392
1710339900000,7.290476190476392
1710339905000,10.125297619047624
1710339910000,10.125297619047624
1710339915000,10.125297619047624
1710339920000,12.970535714285191
1710339925000,12.970535714285191
1710339930000,12.970535714285191
1710339935000,15.677380952380805
1710339940000,15.677380952380805
1710339945000,15.677380952380805
1710339950000,18.592559523809715
1710339955000,18.592559523809715
1710339960000,18.592559523809715
1710339965000,21.328869047617594
1710339970000,21.328869047617594
1710339975000,21.328869047617594
1710339980000,23.883928571428125
1710339985000,23.883928571428125

