"Time","总使用率"
1710344955000,4.575892857143282
1710344960000,4.592261904761353
1710344965000,4.592261904761353
1710344970000,4.592261904761353
1710344975000,6.015178571428381
1710344980000,6.015178571428381
1710344985000,6.015178571428381
1710344990000,8.927380952380071
1710344995000,8.927380952380071
1710345000000,8.927380952380071
1710345005000,11.760714285714624
1710345010000,11.760714285714624
1710345015000,11.760714285714624
1710345020000,14.66904761904777
1710345025000,14.66904761904777
1710345030000,14.66904761904777
1710345035000,17.593452380952158
1710345040000,17.593452380952158
1710345045000,17.593452380952158
1710345050000,20.3839285714282
1710345055000,20.3839285714282
1710345060000,20.3839285714282

