"Time","总使用率"
1710341190000,4.615178571427936
1710341195000,4.575595238096053
1710341200000,4.575595238096053
1710341205000,4.575595238096053
1710341210000,5.933035714286117
1710341215000,5.933035714286117
1710341220000,5.933035714286117
1710341225000,8.75059523809515
1710341230000,8.75059523809515
1710341235000,8.75059523809515
1710341240000,11.548214285714643
1710341245000,11.548214285714643
1710341250000,11.548214285714643
1710341255000,14.331845238095331
1710341260000,14.331845238095331
1710341265000,14.331845238095331
1710341270000,16.937500000000817
1710341275000,16.937500000000817
1710341280000,16.937500000000817
1710341285000,19.805952380952917
1710341290000,19.805952380952917
1710341295000,19.805952380952917
1710341300000,22.592261904761212
1710341305000,22.592261904761212
1710341310000,22.592261904761212
1710341315000,24.174999999999546
1710341320000,24.174999999999546

