"Time","总使用率"
1710343660000,4.636607142857407
1710343665000,4.636607142857407
1710343670000,4.6199404761910206
1710343675000,4.6199404761910206
1710343680000,4.6199404761910206
1710343685000,6.455654761905317
1710343690000,6.455654761905317
1710343695000,6.455654761905317
1710343700000,9.430952380952306
1710343705000,9.430952380952306
1710343710000,9.430952380952306
1710343715000,12.401785714286074
1710343720000,12.401785714286074
1710343725000,12.401785714286074
1710343730000,15.34642857142896
1710343735000,15.34642857142896
1710343740000,15.34642857142896
1710343745000,18.28660714285737
1710343750000,18.28660714285737
1710343755000,18.28660714285737
1710343760000,21.128869047618835
1710343765000,21.128869047618835

